snapped_at,price,market_cap,total_volume
2018-03-02 00:00:00 UTC,0.1275943263717452,29407782.12519513,414246.2392173084
2018-03-03 00:00:00 UTC,0.12038846040017201,27746983.07134075,238243.11183433176
2018-03-04 00:00:00 UTC,0.12054476701656384,27783008.426466536,179888.0622824158
2018-03-05 00:00:00 UTC,0.11757659590352784,27098908.028866176,129399.0472864888
2018-03-06 00:00:00 UTC,0.10647853851722869,24541041.524063107,331223.0745665591
2018-03-07 00:00:00 UTC,0.09241007420054473,21298559.31324954,278825.4350603146
2018-03-08 00:00:00 UTC,0.07829751386574621,18045913.906859994,246013.8563645327
2018-03-09 00:00:00 UTC,0.07952073454895539,18327840.2931324,269486.4466697651
2018-03-10 00:00:00 UTC,0.07931268639715101,18279889.613084234,158958.98063343667
2018-03-11 00:00:00 UTC,0.07441654677944752,17151433.42520906,100233.6635151396
2018-03-12 00:00:00 UTC,0.08171199800947891,18832879.978347167,47532.0849807548
2018-03-13 00:00:00 UTC,0.07875498115468998,18151350.40035632,97737.72291984734
2018-03-14 00:00:00 UTC,0.07870917453733231,18140792.947987925,74442.80293889607
2018-03-15 00:00:00 UTC,0.07011296538008825,16159549.320725668,202800.71639652725
2018-03-16 00:00:00 UTC,0.060438210998552754,13929723.927564802,294106.52854211774
2018-03-17 00:00:00 UTC,0.05870285621669418,13529761.509281967,108313.94926913605
2018-03-18 00:00:00 UTC,0.052331529550876325,12061306.039789332,91771.73159189372
2018-03-19 00:00:00 UTC,0.05460215005040157,12584635.83695049,52675.79722702329
2018-03-20 00:00:00 UTC,0.056827615094288755,13097558.260688955,62049.645958909794
2018-03-21 00:00:00 UTC,0.05713168851827952,13167640.7263993,114516.7080085585
2018-03-22 00:00:00 UTC,0.07167284007116866,16519067.305281263,348848.071956643
2018-03-23 00:00:00 UTC,0.0633387968259626,14598247.352339797,288600.4753268815
2018-03-24 00:00:00 UTC,0.06088969053927186,14033780.372275108,68001.94024957936
2018-03-25 00:00:00 UTC,0.05758928729228244,13273107.524409015,56580.86157075881
2018-03-26 00:00:00 UTC,0.05765473973000554,13288192.921094412,55744.088018925555
2018-03-27 00:00:00 UTC,0.0558952344206462,12882664.319179855,48172.257455021914
2018-03-28 00:00:00 UTC,0.05352509159224724,12336396.73906757,48425.511864960376
2018-03-29 00:00:00 UTC,0.051867298197666174,11954310.573148336,59566.20942409343
2018-03-30 00:00:00 UTC,0.04632481875168784,10676886.78311376,85491.00093420244
2018-03-31 00:00:00 UTC,0.04421149158414318,10189809.758063754,52386.2983484744
2018-04-01 00:00:00 UTC,0.0440837399846112,10160365.72781561,29477.56648719011
2018-04-02 00:00:00 UTC,0.046146863209253264,10635871.810358314,64167.919898977714
2018-04-03 00:00:00 UTC,0.04673075373326573,10770446.174308456,50727.95704569303
2018-04-04 00:00:00 UTC,0.0499801447367777,11519361.783553049,73665.81903482888
2018-04-05 00:00:00 UTC,0.04470716280281251,10304051.445910351,41865.78134647471
2018-04-06 00:00:00 UTC,0.04332626896511466,9985784.74650611,43034.701665943445
2018-04-07 00:00:00 UTC,0.042954328873948566,9900060.455499861,38032.23987681769
